Printing events sorted by their type: 
************************************** 

 Event raise time = 2460, type = DIYRepairEvent, source = Dad - ID: 58.0, target = Light - ID: 26.0
 Event raise time = 740, type = PersonMoveEvent, source = Child3 - ID: 62.0
 Event raise time = 770, type = PersonMoveEvent, source = Child3 - ID: 62.0
 Event raise time = 780, type = PersonMoveEvent, source = Child3 - ID: 62.0
 Event raise time = 850, type = PersonMoveEvent, source = Child4 - ID: 63.0
 Event raise time = 860, type = PersonMoveEvent, source = Child1 - ID: 60.0
 Event raise time = 860, type = PersonMoveEvent, source = Child3 - ID: 62.0
 Event raise time = 880, type = PersonMoveEvent, source = Child1 - ID: 60.0
 Event raise time = 890, type = PersonMoveEvent, source = Child2 - ID: 61.0
 Event raise time = 970, type = PersonMoveEvent, source = Child2 - ID: 61.0
 Event raise time = 990, type = PersonMoveEvent, source = Dad - ID: 58.0
 Event raise time = 1000, type = PersonMoveEvent, source = Dad - ID: 58.0
 Event raise time = 1050, type = PersonMoveEvent, source = Dad - ID: 58.0
 Event raise time = 1120, type = PersonMoveEvent, source = Child2 - ID: 61.0
 Event raise time = 1150, type = PersonMoveEvent, source = Child3 - ID: 62.0
 Event raise time = 1260, type = PersonMoveEvent, source = Mom - ID: 59.0
 Event raise time = 1290, type = PersonMoveEvent, source = Child1 - ID: 60.0
 Event raise time = 1300, type = PersonMoveEvent, source = Child3 - ID: 62.0
 Event raise time = 1310, type = PersonMoveEvent, source = Child3 - ID: 62.0
 Event raise time = 1320, type = PersonMoveEvent, source = Child3 - ID: 62.0
 Event raise time = 1340, type = PersonMoveEvent, source = Child3 - ID: 62.0
 Event raise time = 1350, type = PersonMoveEvent, source = Child3 - ID: 62.0
 Event raise time = 1390, type = PersonMoveEvent, source = Child1 - ID: 60.0
 Event raise time = 1960, type = PersonMoveEvent, source = Child3 - ID: 62.0
 Event raise time = 1980, type = PersonMoveEvent, source = Child4 - ID: 63.0
 Event raise time = 2070, type = PersonMoveEvent, source = Child1 - ID: 60.0
 Event raise time = 2100, type = PersonMoveEvent, source = Child1 - ID: 60.0
 Event raise time = 2120, type = PersonMoveEvent, source = Child3 - ID: 62.0
 Event raise time = 2130, type = PersonMoveEvent, source = Child3 - ID: 62.0
 Event raise time = 2180, type = PersonMoveEvent, source = Child2 - ID: 61.0
 Event raise time = 2270, type = PersonMoveEvent, source = Child4 - ID: 63.0
 Event raise time = 2320, type = PersonMoveEvent, source = Child1 - ID: 60.0
 Event raise time = 2430, type = PersonMoveEvent, source = Child2 - ID: 61.0
 Event raise time = 2460, type = PersonMoveEvent, source = Child2 - ID: 61.0
 Event raise time = 2460, type = PersonMoveEvent, source = Child1 - ID: 60.0
 Event raise time = 2490, type = PersonMoveEvent, source = Child4 - ID: 63.0
 Event raise time = 2500, type = PersonMoveEvent, source = Dad - ID: 58.0
 Event raise time = 2520, type = PersonMoveEvent, source = Child1 - ID: 60.0
 Event raise time = 2590, type = PersonMoveEvent, source = Dad - ID: 58.0
 Event raise time = 2600, type = PersonMoveEvent, source = Dad - ID: 58.0
 Event raise time = 2600, type = PersonMoveEvent, source = Child2 - ID: 61.0
 Event raise time = 2610, type = PersonMoveEvent, source = Dad - ID: 58.0
 Event raise time = 2650, type = PersonMoveEvent, source = Child4 - ID: 63.0
 Event raise time = 2660, type = PersonMoveEvent, source = Child4 - ID: 63.0
 Event raise time = 2670, type = PersonMoveEvent, source = Child4 - ID: 63.0
 Event raise time = 2680, type = PersonMoveEvent, source = Child4 - ID: 63.0
 Event raise time = 2700, type = PersonMoveEvent, source = Child3 - ID: 62.0
 Event raise time = 2700, type = PersonMoveEvent, source = Child4 - ID: 63.0
 Event raise time = 2700, type = PersonMoveEvent, source = Mom - ID: 59.0
 Event raise time = 2740, type = PersonMoveEvent, source = Child1 - ID: 60.0
 Event raise time = 2750, type = PersonMoveEvent, source = Child1 - ID: 60.0
 Event raise time = 2780, type = PersonMoveEvent, source = Child3 - ID: 62.0
 Event raise time = 2780, type = PersonMoveEvent, source = Mom - ID: 59.0
 Event raise time = 2820, type = PersonMoveEvent, source = Child4 - ID: 63.0
 Event raise time = 2860, type = PersonMoveEvent, source = Child3 - ID: 62.0
 Event raise time = 2860, type = PersonMoveEvent, source = Mom - ID: 59.0
 Event raise time = 3370, type = PersonMoveEvent, source = Child2 - ID: 61.0
 Event raise time = 3380, type = PersonMoveEvent, source = Child1 - ID: 60.0
 Event raise time = 3430, type = PersonMoveEvent, source = Child3 - ID: 62.0
 Event raise time = 3440, type = PersonMoveEvent, source = Child3 - ID: 62.0
 Event raise time = 3450, type = PersonMoveEvent, source = Child3 - ID: 62.0
 Event raise time = 3450, type = PersonMoveEvent, source = Child2 - ID: 61.0
 Event raise time = 3480, type = PersonMoveEvent, source = Child1 - ID: 60.0
 Event raise time = 3600, type = PersonMoveEvent, source = Child3 - ID: 62.0
 Event raise time = 3610, type = PersonMoveEvent, source = Child2 - ID: 61.0
 Event raise time = 3630, type = PersonMoveEvent, source = Child1 - ID: 60.0
 Event raise time = 3710, type = PersonMoveEvent, source = Child2 - ID: 61.0
 Event raise time = 3860, type = PersonMoveEvent, source = Child2 - ID: 61.0
 Event raise time = 3880, type = PersonMoveEvent, source = Dad - ID: 58.0
