Printing events sorted by their type: 
************************************** 

 Event raise time = 490, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 490, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 650, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 660, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 680, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 700, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 700, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 710, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 730, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 810, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 820, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 950, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 980, type = PersonMoveEvent, source = Dad - ID: 74.0
 Event raise time = 1090, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 1100, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 1110, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 1120, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 1130, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 1140, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 1250, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 1260, type = PersonMoveEvent, source = Mom - ID: 75.0
 Event raise time = 1260, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 1260, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 1270, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 1300, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 1310, type = PersonMoveEvent, source = Mom - ID: 75.0
 Event raise time = 1310, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 1320, type = PersonMoveEvent, source = Mom - ID: 75.0
 Event raise time = 1330, type = PersonMoveEvent, source = Mom - ID: 75.0
 Event raise time = 1430, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 1930, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 1950, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 1980, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 2060, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 2150, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 2210, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 2320, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 2330, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 2360, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 2380, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 2450, type = PersonMoveEvent, source = Mom - ID: 75.0
 Event raise time = 2460, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 2500, type = PersonMoveEvent, source = Mom - ID: 75.0
 Event raise time = 2510, type = PersonMoveEvent, source = Mom - ID: 75.0
 Event raise time = 2520, type = PersonMoveEvent, source = Mom - ID: 75.0
 Event raise time = 2530, type = PersonMoveEvent, source = Mom - ID: 75.0
 Event raise time = 2540, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 2550, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 2550, type = PersonMoveEvent, source = Dad - ID: 74.0
 Event raise time = 2630, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 2650, type = PersonMoveEvent, source = Mom - ID: 75.0
 Event raise time = 2690, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 2700, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 2720, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 2730, type = PersonMoveEvent, source = Mom - ID: 75.0
 Event raise time = 2740, type = PersonMoveEvent, source = Mom - ID: 75.0
 Event raise time = 2760, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 2770, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 2770, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 2830, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 2850, type = PersonMoveEvent, source = Dad - ID: 74.0
 Event raise time = 2850, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 2860, type = PersonMoveEvent, source = Dad - ID: 74.0
 Event raise time = 2860, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 2870, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 3440, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 3580, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 3590, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 3620, type = PersonMoveEvent, source = Child3 - ID: 78.0
